Key;Type;Desc;English
please select your devic;;;"Please select your device mode"

pc;;;"PC"

mobile;;;"Mobile"

main;;;"Main"

food;;;"Food"

belly;;;"Belly"

fabric;;;"Fabric"

bath;;;"Bath"

oral care;;;"Oral care"

skin care;;;"Skin care"

breast;;;"Breast"

new item;;;"New item"

zero sap vegan-nursing p;;;"Zero SAP Vegan
Nursing Pads (60ea) "

vegan bear belly patch;;;"Vegan Bear Belly Patch"

_55ml - 7 sheets];;;"(55ml * 7 Sheets)"

moisturizing belly patch;;;"Moisturizing belly patch for pregnant women
filled with rich nutrition Moisturizing belly patch for pregnant women filled with rich nutrition"

read more;;;"Read more"

_f belly zone;;;"2F Belly Zone"

details;;;"details"

add to sample;;;"add to sample"

tntnmom-s jeju cabbage v;;;"Tntnmom's Jeju Cabbage Vegan
Mask Pack (10 Sheets)"

_ organic cabbage from j;;;"# Organic cabbage from Jeju
#No-irritation #Vegan sheet mask"

view video;;;"view video"

view all;;;"view all"

